ID	SEROTYPE	PRS	LMO0737	LMO1118	ORF2110	ORF2819	COMMENT
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR10559620.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR10559647.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR10850552.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR10850553.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300473.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300557.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300604.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300610.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300615.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300616.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300620.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300623.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300624.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300625.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300626.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300643.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300651.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300653.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300706.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300719.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR11300720.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
/scratch.global/fermx014/FMPRE/100RUNS_Listeria_SNP_group_all_isolates/fq/SRR12185764.skesa.fa	1/2a, 3a	FULL	FULL	NONE	NONE	NONE	
